_id,id,parcel_id,inactive,name,rentable,type,primary_user,address_number,street,zip,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
2,783044037,2-H-284,f,Albert Turk Graham Park Shelter,f,Shelter,Department of Public Works,39.0,VINE ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Albert_Turk_Graham_Park_Shelter.jpg,Crawford-Roberts,6,3.0,42003030500,3.0,3.0,2.0,2-1,40.44045824,-79.98410437
6,984285720,13-F-217,f,Arlington Recreation Center,t,Activity,CitiParks,2201.0,SALISBURY ST,15210.0,,South Side Slopes,3,16.0,42003160800,3.0,16.0,3.0,4-22,40.41926903,-79.97521477
13,970468255,36-L-81,f,Banksville Concession Stand,f,Concession,Department of Public Works,,CARNAHAN RD,,https://tools.wprdc.org/images/pittsburgh/facilities/Banksville_Concession_Stand.jpg,Banksville,2,20.0,42003202300,5.0,20.0,6.0,4-9,40.40732827,-80.03796832
14,2105474885,17-R-120,f,Banksville Concession Stand and Restrooms,f,Concession,Department of Public Works,1461.0,CRANE AVE,15220.0,https://tools.wprdc.org/images/pittsburgh/facilities/Banksville_Concession_Stand_and_Restrooms.jpg,Banksville,2,20.0,42003202300,5.0,20.0,6.0,4-9,40.41441581,-80.03955152
15,1042325852,17-R-120,f,Banksville Deck Hockey Benches,f,Dugout,Department of Public Works,,CRANE AVE,,https://tools.wprdc.org/images/pittsburgh/facilities/Banksville_Deck_Hockey_Benches.jpg,Banksville,2,20.0,42003202300,5.0,20.0,6.0,4-9,40.41432722,-80.03892049
16,635191366,17-R-120,f,Banksville Park Gazebo,f,Shelter,Department of Public Works,,CRANE AVE,,https://tools.wprdc.org/images/pittsburgh/facilities/Banksville_Park_Gazebo.jpg,Banksville,2,20.0,42003202300,5.0,20.0,6.0,4-9,40.41465323,-80.03928593
19,160770425,26-D-11,f,Bloomfield Deck Hockey Benches,f,Dugout,Department of Public Works,,,,https://tools.wprdc.org/images/pittsburgh/facilities/Bloomfield_Deck_Hockey_Benches.jpg,Bloomfield,7,8.0,42003080200,2.0,8.0,5.0,3-6,40.46261771,-79.95366624
20,836558540,26-D-11,f,Bloomfield Pool and Recreation Center,f,Pool/Rec,CitiParks,408.0,ELLA ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Bloomfield_Pool_and_Recreation_Center.jpg,Bloomfield,7,8.0,42003080200,2.0,8.0,5.0,3-1,40.46213307,-79.95358858
21,1944325023,26-D-11,f,Bloomfield Pool Concession Stand,f,Concession,CitiParks,408.0,ELLA ST,15224.0,https://tools.wprdc.org/images/pittsburgh/facilities/Bloomfield_Pool_Concession_Stand.jpg,Bloomfield,7,8.0,42003080200,2.0,8.0,5.0,3-1,40.462187,-79.95333871
22,239855066,34-M-131,f,Bon Air Shelter,f,Shelter,Department of Public Works,306.0,CONNISTON AVE,,https://tools.wprdc.org/images/pittsburgh/facilities/Bon_Air_Shelter.jpg,Bon Air,4,18.0,42003562400,5.0,18.0,3.0,4-7,40.40746405,-79.99952641
23,1524561463,115-J-118,f,Brighton Heights Concession Stand,f,Concession,CitiParks,,WEITZ WAY,15212.0,https://tools.wprdc.org/images/pittsburgh/facilities/Brighton_Heights_Concession_Stand.jpg,Brighton Heights,1,27.0,42003270800,1.0,27.0,1.0,1-14,40.48812634,-80.03329689
24,947584426,115-E-40,f,Brighton Heights Field 6 First Base Dugout,f,Dugout,Department of Public Works,,,,https://tools.wprdc.org/images/pittsburgh/facilities/Brighton_Heights_Field_6_First_Base_Dugout.jpg,Brighton Heights,1,27.0,42003270800,1.0,27.0,1.0,1-14,40.48620539,-80.02989169
25,877291770,115-E-40,f,Brighton Heights Field 6 Third Base Dugout,f,Dugout,Department of Public Works,,,,https://tools.wprdc.org/images/pittsburgh/facilities/Brighton_Heights_Field_6_Third_Base_Dugout.jpg,Brighton Heights,1,27.0,42003270800,1.0,27.0,1.0,1-14,40.48624883,-80.03008701
26,1096526197,115-E-40,f,Brighton Heights Park First Base Dugout,f,Dugout,Department of Public Works,,BRIGHTON WOODS RD,,https://tools.wprdc.org/images/pittsburgh/facilities/Brighton_Heights_Park_First_Base_Dugout.jpg,Brighton Heights,1,27.0,42003270800,1.0,27.0,1.0,1-14,40.48670987,-80.03141484
27,1944072896,115-E-40,f,Brighton Heights Park Shelter,t,Shelter,Department of Public Works,,BRIGHTON WOODS RD,,https://tools.wprdc.org/images/pittsburgh/facilities/Brighton_Heights_Park_Shelter.jpg,Brighton Heights,1,27.0,42003270800,1.0,27.0,1.0,1-14,40.48679864,-80.03213208
29,1320225488,115-E-40,f,Brighton Heights Park Third Base Dugout,f,Dugout,Department of Public Works,,BRIGHTON WOODS RD,,https://tools.wprdc.org/images/pittsburgh/facilities/Brighton_Heights_Park_Third_Base_Dugout.jpg,Brighton Heights,1,27.0,42003270800,1.0,27.0,1.0,1-14,40.48675426,-80.03120805
